"","na_count"
"EAN",646
"Articlenumber",639
"Model.Number",0
"Product.life.cycle",0
"External.Title",639
"Kleur.commercieel",9
"Gewicht.Accu..kg.",1528
"Name",639
"Model.name",1957
"leverancier",1303
"artikelnummer",639
"ean_upc",646
"bestelcode",646
"tl_item.besteleenheid.0",0
"minimale_bestelhoeveelheid",0
"tl_item.status.0",0
"omverpakkinginhoud",639
"tl_item.omverpakkingartikel.0",0
"artikelgroep",0
"tl_item.klantgroep.0",1957
"tl_item.kernwoord.0",1957
"tl_item.plaatsbepaling.0",0
"tl_item.profielen.0",1957
"tl_item.merk.0",1957
"model",1318
"tl_item.artikelnummer_producent.0",1957
"tl_item.pos_afbeelding.0",1957
"kleur",645
"primaire_basiskleur",639
"secundaire_basiskleur",1391
"tl_item.bruto_gewicht.0",1957
"tl_item.netto_gewicht.0",1957
"maat",1957
"consumentenadviesprijs",1
"korte_omschrijving",639
"lange_omschrijving",639
"kassabontekst",639
"modeljaar",0
"wielmaat",639
"Type.frame.DST",168
"tl_item.framemaat_leverancier.0",1957
"framemateriaal",0
"Versnelling.merk",199
"tl_item.model_versnellingssysteem.0",1957
"tl_item.type_versnellingssysteem.0",1957
"Versnelling.aantal",205
"tl_item.merk_primaire_remsysteem_achter.0",1957
"model_primaire_remsysteem_achter",230
"type_primaire_remsysteem_achter",643
"tl_item.merk_secundaire_remsysteem_achter.0",1957
"tl_item.model_secundaire_remsysteem_achter.0",1957
"tl_item.type_secundaire_remsysteem_achter.0",1957
"merk_remsysteem_voor",1190
"tl_item.model_remsysteem_voor.0",1957
"Voorrem.type",1458
"Achterlicht",233
"Voorlicht",250
"Voordrager",1032
"Bagagedrager",912
"Voorrem.soort",351
"Achterrem.soort",210
"Derde.rem",1818
"Wielmaat.in.inch",1957
"Gewicht.commercieel",620
"E.bike.systeem",1273
"Frame.artikelhoogte.in.CM.1",1
"Accu.locatie",878
"Motor.locatie",861
"Merk.display",1059
"Merk.accu",907
"Accu.capaciteit..mAh.",910
"Trapondersteuning.sensor",1203
"Trapondersteuning.met.gashendel",1392
"Versnelling.type",223
"Bicycle.brand",1318
"Cassette.merk",1807
"Motor.capaciteit..Nm.",976
"Zadelpen",150
"Type.zadel",1957
"Merk.zadel",197
"Wielset.type",1941
"Type.voorvork",1955
"Soort.Voorvork",196
"Voorrem.merk",1190
"Type.voorderailleur",1957
"Merk.voorderailleur",1957
"Verzekering",1957
"Versnelling.locatie",265
"Versnelling.groep",1950
"Automatisch.versnelling",272
"Velg.type",1957
"Velg.merk",1957
"Trapondersteuning.met.Walk.Assist",1127
"Trapondersteuning.tandent",1937
"Trapondersteuning.sensor.1",1203
"Trapondersteuning.met.gashendel.1",1392
"Trapondersteuning.aantal",1070
"Stuurvergrendeling",1442
"Type.stuurpen",156
"Stuur.type",1751
"Stuur.merk",1771
"Standaard",177
"Spatbord",1953
"Spaak",1957
"Snelbinder",1957
"Slot",290
"Type.shifter",647
"Merk.shifter",237
"Pomp",1950
"Pedaal",1950
"Voornaaf",1934
"Achternaaf",1924
"Motor.type",961
"Motor.merk",861
"Kettingbescherming",260
"Merk.ketting",1957
"Merk.handvat",741
"Gewicht.in.kg.zonder.accu",903
"Extra.garantie",1957
"Dynamo",1131
"Display.stuurbediening",1154
"Display.afneembaar",1135
"Crank.type",1832
"Crank.merk",1636
"Cassette.type",1837
"Bel.type",1957
"Bel",1922
"Type.band",1662
"Soort.band",1175
"Merk.band",1065
"Merk.balhoofdset",1957
"Automatische.kettingspanner",339
"Achterrem.type",1462
"Achterrem.merk",865
"Type.achterderailleur",1955
"Merk.achterderailleur",1955
"Accu.uitneembaar",889
"Type.accu",887
"Accu.actieradius.vanaf",1534
"Accu.actieradius.tot",1261
"tl_item.ASSETS.0",51
"Kleur.commercieel.cde",645
"Aantal.versnellingen",0
"Bike.uses.flexbattery.type",1670
"Framehoogte.secundair",1957
"URL",677
"PIM.ID",0
"MDM",639
"H1",1318
"H2",1356
"H3",1414
"H4",1713
"H5",1714
"H6",1713
"Short.description",747
"Long.description",345
"SEO.Description",908
"usps1",344
"usps2",344
"usps3",352
"usps4",404
"usps5",1257
"usps6",1550
"usps7",1683
"usps8",1865
"PIM.status",0
"Published",0
"basisprijs_dealer",1366
"tl_item.btw.0",1957
"Oneliner",708
"Wielset.merk",1915
"Use.photo",662
"Function.group",1303
"Authorization.Group",1303
"Functiegroep.alternatief",13
"Price.list.record",1366
"SEO.Title",903
"Familie",1957
"subgroep.dst",0
"DST..sub.artikel.groep",0
"Berichten.versturen",1957
"Borging.fietsgegevens",1957
"Diefstal.alerts..beweging.snelheid.",1957
"Laadreminder",1957
"Model.aanwezig.in.Experience.Center",1692
"Model.aanwezig.op.Testbaan.in.Experience.Center",1832
"Service.en.onderhoud",1957
"Track...trace",1957
"Virtual.fence",1957
"Zoekwoorden.Alg.",880
"Zoekwoorden.Per.taal",1957
"Extra.Zoekwoorden",1731
"Uitloop",639
"Omschrijving.artikel.2",1957
"P.A.brand",1957
"Article.supplier",1934
"colnames",0
